x_val,y_val
0.0,1.0
0.01,3.594074074074074
0.02,3.4179775280898874
0.03,3.354166666666666
0.04,3.2802681992337157
0.05,3.1379844961240293
0.06,3.01078431372549
0.07,2.9233560090702944
0.08,2.882185886402755
0.09,2.7878919860627187
0.1,2.740388007054676
0.11,2.703065476190478
0.12,2.578556359252561
0.18,2.3191226941226946
0.2,1.9465209828223518
0.21,1.8829916225749548
0.26,1.3914884135472367
0.27,1.3091905192651458
0.28,1.2563388211115485
0.29,1.2375413475413475
0.3,1.1793165576253806
0.31,0.9083222333222337
0.32,0.8528572681798492
0.33,0.7717429655954248
0.34,0.7640034965034967
0.35,0.7594385840148553
0.36,0.5843030054236951
0.5,0.5134527817861151
0.51,0.5120252853207398
0.52,0.38866153226618344
0.53,0.22460317460317464
0.54,0.0
1.0,0.0
