x_val,y_val
0.0,2.3025850929940455
0.03,2.1972245773362196
0.04,2.1972245773362196
0.05,2.0794415416798357
0.06,2.0794415416798357
0.07,2.0794415416798357
0.09,2.0794415416798357
0.11,2.0794415416798357
0.12,2.0794415416798357
0.14,2.0794415416798357
0.16,2.0794415416798357
0.17,2.0794415416798357
0.19,2.0794415416798357
0.2,2.0794415416798357
0.22,1.945910149055313
0.24,1.7917594692280547
0.26,1.6094379124341005
0.27,1.6094379124341005
0.29,1.6094379124341005
0.33,1.3862943611198906
0.34,1.3862943611198906
0.35,1.3862943611198906
0.4,1.3862943611198906
0.42,1.3862943611198906
0.46,1.0986122886681096
0.48,1.0986122886681096
0.52,1.0986122886681096
0.54,1.0986122886681096
0.58,0.9251290835720822
0.59,0.9364823445220504
0.6,0.9479851562853798
0.7,1.0608569471580214
0.71,0.0
1.0,0.0
